MAKE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ALFA ROMEO,17,9,19,12,11,5,15,12,6,,,
ASTON MARTIN,7,3,7,5,3,3,2,3,4,,,
AUDI,111,120,157,98,125,161,147,176,175,,,
BENTLEY,11,4,10,4,4,2,3,4,6,,,
BMW,130,163,178,109,139,159,116,163,169,,,
CADILLAC,1,,,,1,,,,1,,,
CAN-AM,5,11,3,4,4,7,8,6,12,,,
CHEVROLET,7,4,6,5,3,5,8,6,11,,,
CHRYSLER,,1,,,,,,,,,,
CITROEN,34,22,20,19,24,9,21,32,33,,,
DODGE,,,,,,1,,,,,,
FACTORY BUILT,,,,1,,,,,,,,
FERRARI,1,2,3,2,7,1,4,2,2,,,
FIAT,5,,7,2,7,4,2,,,,,
FORD,606,416,346,273,328,326,280,253,399,,,
FOTON,2,,,,2,2,12,,1,,,
HAVAL,49,64,42,52,65,81,50,71,55,,,
HOLDEN,689,545,543,325,536,540,555,633,877,,,
HONDA,450,512,699,305,407,333,412,398,410,,,
HYUNDAI,551,528,561,562,688,926,457,626,721,,,
INDIAN,,1,,,,,,,,,,
INFINITI,12,8,2,4,2,,4,15,,,,
ISUZU,22,14,29,19,25,15,7,17,17,,,
JAGUAR,43,39,36,28,48,79,51,41,62,,,
JEEP,110,55,77,82,37,66,92,69,78,,,
KIA,710,580,626,537,455,562,585,511,602,,,
LAMBORGHINI,7,3,4,5,3,2,3,3,1,,,
LAND ROVER,179,128,135,90,96,96,78,111,96,,,
LDV,7,6,8,5,4,6,3,3,12,,,
LEXUS,76,76,70,74,69,72,75,73,83,,,
LOTUS,,,,,,1,,,,,,
LVV,1,1,2,,,,,,,,,
MAHINDRA,2,11,21,2,13,13,10,21,19,,,
MASERATI,3,5,10,9,2,5,3,1,4,,,
MAZDA,1052,758,805,601,707,790,713,701,711,,,
MCLAREN,7,2,2,2,4,3,2,1,2,,,
MERCEDES-BENZ,247,152,214,159,192,193,174,148,148,,,
MG,,,3,35,50,41,58,51,94,,,
MINI,65,41,72,58,81,77,44,61,70,,,
MITSUBISHI,803,547,631,444,474,616,499,659,707,,,
MORGAN,,,1,1,,,,,,,,
NISSAN,370,355,489,365,346,393,455,544,521,,,
PEUGEOT,107,72,84,42,71,66,57,83,60,,,
PIAGGIO,,,2,,1,,1,,1,,,
PORSCHE,60,49,22,43,32,36,28,30,33,,,
RENAULT,34,26,16,28,17,14,22,10,13,,,
ROLLS-ROYCE,,,1,1,,,2,1,1,,,
SEAT,13,11,13,14,11,23,13,9,13,,,
SKODA,113,108,124,107,133,122,122,161,145,,,
SSANGYONG,72,55,67,76,92,96,81,42,61,,,
SUBARU,382,299,338,299,305,282,304,330,281,,,
SUZUKI,592,580,564,460,528,569,550,522,560,,,
TESLA,13,13,20,15,16,16,6,62,379,,,
TOYOTA,1718,800,960,1112,1086,1561,1432,1468,2226,,,
VOLKSWAGEN,374,309,307,231,311,304,313,322,386,,,
VOLVO,68,64,61,46,54,57,42,47,50,,,
YAMAHA,4,6,8,6,5,7,4,4,4,,,
